# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: Ca-machinery expression by subcellular accessibility (surface=antibody-accessible vs intracellular SR/ER) per conduction group; linear scale
group,gene,access,compartment,expr,subtype
fetal_SAN_pace,CACNA1C,SURFACE,sarcolemma,31.416,L-type
fetal_SAN_pace,CACNA1D,SURFACE,sarcolemma,18.4414,L-type
fetal_SAN_pace,CACNA1G,SURFACE,sarcolemma,0.5713,T-type
fetal_SAN_pace,CACNA1H,SURFACE,sarcolemma,0.0022,T-type
fetal_SAN_pace,CACNA1I,SURFACE,sarcolemma,0.002,T-type
fetal_SAN_pace,CACNA1A,SURFACE,sarcolemma,0.0337,PQ-type
fetal_SAN_pace,CACNA1B,SURFACE,sarcolemma,0.0614,N-type
fetal_SAN_pace,CACNA1E,SURFACE,sarcolemma,0.0099,R-type
fetal_SAN_pace,CACNA1S,SURFACE,sarcolemma,0.002,L-type
fetal_SAN_pace,SLC8A1,SURFACE,sarcolemma,148.5486,
fetal_SAN_pace,ORAI1,SURFACE,plasma_membrane,0.0075,
fetal_SAN_pace,ORAI2,SURFACE,plasma_membrane,0.0617,
fetal_SAN_pace,ORAI3,SURFACE,plasma_membrane,0.0301,
fetal_SAN_pace,STIM1,MIXED,PM+ER,2.4265,
fetal_SAN_pace,STIM2,INTRACELLULAR,ER,1.4743,
fetal_SAN_pace,TRPM4,MIXED,PM+ER,0.4724,
fetal_SAN_pace,TRPM7,SURFACE,plasma_membrane,6.2536,
fetal_SAN_pace,TRPC1,SURFACE,plasma_membrane,1.6264,
fetal_SAN_pace,TRPC3,SURFACE,plasma_membrane,0.3024,
fetal_SAN_pace,TRPC6,SURFACE,plasma_membrane,0.0209,
fetal_SAN_pace,RYR2,INTRACELLULAR,SR,70.9969,
fetal_SAN_pace,RYR3,INTRACELLULAR,SR,3.6759,
fetal_SAN_pace,ITPR1,INTRACELLULAR,ER,0.5652,
fetal_SAN_pace,ITPR2,INTRACELLULAR,ER,1.835,
fetal_SAN_pace,ITPR3,INTRACELLULAR,ER,0.0131,
fetal_SAN_pace,ATP2A2,INTRACELLULAR,SR,15.5298,
fetal_SAN_pace,ATP2A1,INTRACELLULAR,SR,0.0739,
fetal_SAN_pace,TMEM38A,INTRACELLULAR,SR,0.175,
fetal_SAN_pace,TMEM38B,INTRACELLULAR,ER,0.2999,
fetal_SAN_work,CACNA1C,SURFACE,sarcolemma,52.1993,L-type
fetal_SAN_work,CACNA1D,SURFACE,sarcolemma,4.6354,L-type
fetal_SAN_work,CACNA1G,SURFACE,sarcolemma,0.5435,T-type
fetal_SAN_work,CACNA1H,SURFACE,sarcolemma,0.0084,T-type
fetal_SAN_work,CACNA1I,SURFACE,sarcolemma,0.0039,T-type
fetal_SAN_work,CACNA1A,SURFACE,sarcolemma,0.0566,PQ-type
fetal_SAN_work,CACNA1B,SURFACE,sarcolemma,0.0382,N-type
fetal_SAN_work,CACNA1E,SURFACE,sarcolemma,0.0071,R-type
fetal_SAN_work,CACNA1S,SURFACE,sarcolemma,0.0,L-type
fetal_SAN_work,SLC8A1,SURFACE,sarcolemma,83.7491,
fetal_SAN_work,ORAI1,SURFACE,plasma_membrane,0.0294,
fetal_SAN_work,ORAI2,SURFACE,plasma_membrane,0.0522,
fetal_SAN_work,ORAI3,SURFACE,plasma_membrane,0.0335,
fetal_SAN_work,STIM1,MIXED,PM+ER,0.5249,
fetal_SAN_work,STIM2,INTRACELLULAR,ER,1.3884,
fetal_SAN_work,TRPM4,MIXED,PM+ER,0.3747,
fetal_SAN_work,TRPM7,SURFACE,plasma_membrane,3.1289,
fetal_SAN_work,TRPC1,SURFACE,plasma_membrane,1.5765,
fetal_SAN_work,TRPC3,SURFACE,plasma_membrane,0.4436,
fetal_SAN_work,TRPC6,SURFACE,plasma_membrane,0.0336,
fetal_SAN_work,RYR2,INTRACELLULAR,SR,67.4984,
fetal_SAN_work,RYR3,INTRACELLULAR,SR,4.9549,
fetal_SAN_work,ITPR1,INTRACELLULAR,ER,0.6578,
fetal_SAN_work,ITPR2,INTRACELLULAR,ER,3.9069,
fetal_SAN_work,ITPR3,INTRACELLULAR,ER,0.0723,
fetal_SAN_work,ATP2A2,INTRACELLULAR,SR,11.21,
fetal_SAN_work,ATP2A1,INTRACELLULAR,SR,0.0431,
fetal_SAN_work,TMEM38A,INTRACELLULAR,SR,0.124,
fetal_SAN_work,TMEM38B,INTRACELLULAR,ER,0.3994,
fetal_AVN_pace,CACNA1C,SURFACE,sarcolemma,38.9397,L-type
fetal_AVN_pace,CACNA1D,SURFACE,sarcolemma,5.203,L-type
fetal_AVN_pace,CACNA1G,SURFACE,sarcolemma,0.4361,T-type
fetal_AVN_pace,CACNA1H,SURFACE,sarcolemma,0.0,T-type
fetal_AVN_pace,CACNA1I,SURFACE,sarcolemma,0.0039,T-type
fetal_AVN_pace,CACNA1A,SURFACE,sarcolemma,0.1507,PQ-type
fetal_AVN_pace,CACNA1B,SURFACE,sarcolemma,0.0748,N-type
fetal_AVN_pace,CACNA1E,SURFACE,sarcolemma,0.014,R-type
fetal_AVN_pace,CACNA1S,SURFACE,sarcolemma,0.0034,L-type
fetal_AVN_pace,SLC8A1,SURFACE,sarcolemma,75.9959,
fetal_AVN_pace,ORAI1,SURFACE,plasma_membrane,0.0414,
fetal_AVN_pace,ORAI2,SURFACE,plasma_membrane,0.0962,
fetal_AVN_pace,ORAI3,SURFACE,plasma_membrane,0.0366,
fetal_AVN_pace,STIM1,MIXED,PM+ER,0.8236,
fetal_AVN_pace,STIM2,INTRACELLULAR,ER,0.8122,
fetal_AVN_pace,TRPM4,MIXED,PM+ER,0.26,
fetal_AVN_pace,TRPM7,SURFACE,plasma_membrane,3.2092,
fetal_AVN_pace,TRPC1,SURFACE,plasma_membrane,1.8682,
fetal_AVN_pace,TRPC3,SURFACE,plasma_membrane,0.3457,
fetal_AVN_pace,TRPC6,SURFACE,plasma_membrane,0.0657,
fetal_AVN_pace,RYR2,INTRACELLULAR,SR,31.0468,
fetal_AVN_pace,RYR3,INTRACELLULAR,SR,0.9298,
fetal_AVN_pace,ITPR1,INTRACELLULAR,ER,1.781,
fetal_AVN_pace,ITPR2,INTRACELLULAR,ER,2.1073,
fetal_AVN_pace,ITPR3,INTRACELLULAR,ER,0.0039,
fetal_AVN_pace,ATP2A2,INTRACELLULAR,SR,5.6248,
fetal_AVN_pace,ATP2A1,INTRACELLULAR,SR,0.077,
fetal_AVN_pace,TMEM38A,INTRACELLULAR,SR,0.1206,
fetal_AVN_pace,TMEM38B,INTRACELLULAR,ER,0.341,
fetal_AVN_work,CACNA1C,SURFACE,sarcolemma,70.9296,L-type
fetal_AVN_work,CACNA1D,SURFACE,sarcolemma,0.3388,L-type
fetal_AVN_work,CACNA1G,SURFACE,sarcolemma,0.1392,T-type
fetal_AVN_work,CACNA1H,SURFACE,sarcolemma,0.0007,T-type
fetal_AVN_work,CACNA1I,SURFACE,sarcolemma,0.0026,T-type
fetal_AVN_work,CACNA1A,SURFACE,sarcolemma,0.0366,PQ-type
fetal_AVN_work,CACNA1B,SURFACE,sarcolemma,0.0717,N-type
fetal_AVN_work,CACNA1E,SURFACE,sarcolemma,0.0087,R-type
fetal_AVN_work,CACNA1S,SURFACE,sarcolemma,0.0011,L-type
fetal_AVN_work,SLC8A1,SURFACE,sarcolemma,208.4981,
fetal_AVN_work,ORAI1,SURFACE,plasma_membrane,0.0567,
fetal_AVN_work,ORAI2,SURFACE,plasma_membrane,0.0518,
fetal_AVN_work,ORAI3,SURFACE,plasma_membrane,0.0218,
fetal_AVN_work,STIM1,MIXED,PM+ER,0.5773,
fetal_AVN_work,STIM2,INTRACELLULAR,ER,0.5014,
fetal_AVN_work,TRPM4,MIXED,PM+ER,0.4039,
fetal_AVN_work,TRPM7,SURFACE,plasma_membrane,3.5817,
fetal_AVN_work,TRPC1,SURFACE,plasma_membrane,1.3493,
fetal_AVN_work,TRPC3,SURFACE,plasma_membrane,0.3791,
