# version: CHB v1 (standalone) | generated: 2026-06-18 | seed: 42 | input: ion-channel functional-class composition per group: summed mean linear expression and within-group fraction of the six-class pool (surface_Ca, SR_Ca, K, Na, HCN, transporter)
group,cls,expr,frac
fetal_SAN_pace,surface_Ca,212.3497,0.6135
fetal_SAN_pace,SR_Ca,98.5963,0.2849
fetal_SAN_pace,K,15.8214,0.0457
fetal_SAN_pace,Na,0.4803,0.0014
fetal_SAN_pace,HCN,17.7126,0.0512
fetal_SAN_pace,transporter,1.1521,0.0033
fetal_SAN_work,surface_Ca,149.297,0.5806
fetal_SAN_work,SR_Ca,89.674,0.3487
fetal_SAN_work,K,10.341,0.0402
fetal_SAN_work,Na,2.0659,0.008
fetal_SAN_work,HCN,4.8973,0.019
fetal_SAN_work,transporter,0.8763,0.0034
fetal_AVN_pace,surface_Ca,129.4371,0.7023
fetal_AVN_pace,SR_Ca,42.6176,0.2312
fetal_AVN_pace,K,7.0591,0.0383
fetal_AVN_pace,Na,0.6747,0.0037
fetal_AVN_pace,HCN,2.5756,0.014
fetal_AVN_pace,transporter,1.9357,0.0105
fetal_AVN_work,surface_Ca,288.2567,0.7474
fetal_AVN_work,SR_Ca,88.6521,0.2299
fetal_AVN_work,K,4.8958,0.0127
fetal_AVN_work,Na,1.5864,0.0041
fetal_AVN_work,HCN,0.9372,0.0024
fetal_AVN_work,transporter,1.3289,0.0034
adult_SAN_pace,surface_Ca,131.6982,0.406
adult_SAN_pace,SR_Ca,150.3359,0.4635
adult_SAN_pace,K,28.9729,0.0893
adult_SAN_pace,Na,0.9872,0.003
adult_SAN_pace,HCN,11.3689,0.035
adult_SAN_pace,transporter,1.009,0.0031
adult_SAN_work,surface_Ca,113.6735,0.3309
adult_SAN_work,SR_Ca,198.0332,0.5765
adult_SAN_work,K,21.9873,0.064
adult_SAN_work,Na,2.5471,0.0074
adult_SAN_work,HCN,5.7011,0.0166
adult_SAN_work,transporter,1.5494,0.0045
adult_AVN_pace,surface_Ca,123.2175,0.4489
adult_AVN_pace,SR_Ca,130.1758,0.4743
adult_AVN_pace,K,14.3344,0.0522
adult_AVN_pace,Na,0.6485,0.0024
adult_AVN_pace,HCN,4.1492,0.0151
adult_AVN_pace,transporter,1.9609,0.0071
adult_AVN_work,surface_Ca,164.6309,0.4419
adult_AVN_work,SR_Ca,194.3147,0.5216
adult_AVN_work,K,8.5399,0.0229
adult_AVN_work,Na,3.1935,0.0086
adult_AVN_work,HCN,0.5238,0.0014
adult_AVN_work,transporter,1.33,0.0036
adult_vCM_bulk,surface_Ca,140.1984,0.2944
adult_vCM_bulk,SR_Ca,325.4121,0.6833
adult_vCM_bulk,K,6.9184,0.0145
adult_vCM_bulk,Na,2.8067,0.0059
adult_vCM_bulk,HCN,0.134,0.0003
adult_vCM_bulk,transporter,0.7826,0.0016
sim_fetal_CM,surface_Ca,283.3665,0.6995
sim_fetal_CM,SR_Ca,111.7743,0.2759
sim_fetal_CM,K,5.014,0.0124
sim_fetal_CM,Na,2.9304,0.0072
sim_fetal_CM,HCN,0.7876,0.0019
sim_fetal_CM,transporter,1.2061,0.003
sim_child_CM,surface_Ca,103.2002,0.404
sim_child_CM,SR_Ca,142.7683,0.5588
sim_child_CM,K,5.2303,0.0205
sim_child_CM,Na,2.1968,0.0086
sim_child_CM,HCN,0.563,0.0022
sim_child_CM,transporter,1.5164,0.0059
sim_adult_CM,surface_Ca,120.5238,0.3448
sim_adult_CM,SR_Ca,216.3724,0.6189
sim_adult_CM,K,7.1385,0.0204
sim_adult_CM,Na,3.9326,0.0112
sim_adult_CM,HCN,0.298,0.0009
sim_adult_CM,transporter,1.3249,0.0038
