# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: node-resolved fetal-vs-adult channel + Ca-handling expression by SAN/AVN/vCM; linear TP10K, within-dataset
group,group_label,dataset,n_cells,gene,label,family,mean_tp10k,detect_frac
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,CACNA1C,Cav1.2 (L),Ca channel,31.416,0.9961
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,CACNA1D,Cav1.3 (L),Ca channel,18.4414,0.9843
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,CACNA1G,Cav3.1 (T),Ca channel,0.5713,0.2953
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,CACNA1H,Cav3.2 (T),Ca channel,0.0022,0.0013
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,CACNA1I,Cav3.3 (T),Ca channel,0.002,0.0013
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,SLC8A1,NCX1,Ca handling,148.5486,1.0
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,ATP2A2,SERCA2a,Ca handling,15.5298,0.9921
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,RYR2,RyR2,Ca handling,70.9969,1.0
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,PLN,PLN,Ca handling,5.121,0.8491
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,CASQ2,CASQ2,Ca handling,3.0976,0.7887
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,ATP2B4,PMCA4,Ca handling,5.0678,0.8806
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,CALM1,CaM1,Ca handling,0.3114,0.1745
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,KCNH2,Kv11.1 (IKr),K channel,0.2727,0.1601
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,KCNQ1,Kv7.1 (IKs),K channel,2.2882,0.6942
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,KCNA5,Kv1.5 (IKur),K channel,0.0513,0.0394
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,KCND3,Kv4.3 (Ito),K channel,0.6663,0.2638
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,KCNJ2,Kir2.1 (IK1),K channel,0.0039,0.0026
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,KCNJ3,Kir3.1 (IKACh),K channel,12.1473,0.9751
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,KCNJ5,Kir3.4 (IKACh),K channel,0.2544,0.1365
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,SCN5A,Nav1.5,Na channel,0.47,0.1929
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,ATP1A1,Na/K-ATPase a1,Transporter,1.1521,0.4396
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,HCN4,HCN4 (If),HCN,2.461,0.6942
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,HCN1,HCN1 (If),HCN,15.2456,0.9593
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,GJA5,Cx40 (GJA5),Identity,0.5042,0.206
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,GJC1,Cx45 (GJC1),Identity,1.8641,0.6207
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,TBX3,TBX3,Identity,2.3369,0.4895
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,SHOX2,SHOX2,Identity,2.2034,0.7113
fetal_SAN_pace,Fetal SAN pacemaker,lim2024_fetal_san,762,ISL1,ISL1,Identity,0.4887,0.2323
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,CACNA1C,Cav1.2 (L),Ca channel,52.1993,0.953
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,CACNA1D,Cav1.3 (L),Ca channel,4.6354,0.6387
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,CACNA1G,Cav3.1 (T),Ca channel,0.5435,0.3043
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,CACNA1H,Cav3.2 (T),Ca channel,0.0084,0.0073
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,CACNA1I,Cav3.3 (T),Ca channel,0.0039,0.0036
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,SLC8A1,NCX1,Ca handling,83.7491,0.9913
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,ATP2A2,SERCA2a,Ca handling,11.21,0.9329
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,RYR2,RyR2,Ca handling,67.4984,0.9973
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,PLN,PLN,Ca handling,3.6871,0.7532
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,CASQ2,CASQ2,Ca handling,2.1996,0.5976
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,ATP2B4,PMCA4,Ca handling,2.8637,0.7774
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,CALM1,CaM1,Ca handling,0.4429,0.2765
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,KCNH2,Kv11.1 (IKr),K channel,0.3293,0.2318
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,KCNQ1,Kv7.1 (IKs),K channel,2.3807,0.7838
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,KCNA5,Kv1.5 (IKur),K channel,0.2146,0.1464
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,KCND3,Kv4.3 (Ito),K channel,0.5002,0.2313
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,KCNJ2,Kir2.1 (IK1),K channel,0.022,0.016
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,KCNJ3,Kir3.1 (IKACh),K channel,6.3928,0.8358
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,KCNJ5,Kir3.4 (IKACh),K channel,0.2692,0.1889
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,SCN5A,Nav1.5,Na channel,1.9683,0.6113
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,ATP1A1,Na/K-ATPase a1,Transporter,0.8763,0.4594
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,HCN4,HCN4 (If),HCN,0.8182,0.4256
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,HCN1,HCN1 (If),HCN,4.0739,0.698
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,GJA5,Cx40 (GJA5),Identity,2.3418,0.6519
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,GJC1,Cx45 (GJC1),Identity,1.9471,0.6505
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,TBX3,TBX3,Identity,0.2265,0.1373
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,SHOX2,SHOX2,Identity,0.8498,0.3472
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,ISL1,ISL1,Identity,0.0135,0.0109
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CACNA1C,Cav1.2 (L),Ca channel,38.9397,0.9638
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CACNA1D,Cav1.3 (L),Ca channel,5.203,0.5727
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CACNA1G,Cav3.1 (T),Ca channel,0.4361,0.2112
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CACNA1H,Cav3.2 (T),Ca channel,0.0,0.0
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CACNA1I,Cav3.3 (T),Ca channel,0.0039,0.0025
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,SLC8A1,NCX1,Ca handling,75.9959,0.8948
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,ATP2A2,SERCA2a,Ca handling,5.6248,0.7001
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,RYR2,RyR2,Ca handling,31.0468,0.9433
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,PLN,PLN,Ca handling,3.0802,0.5933
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CASQ2,CASQ2,Ca handling,1.8155,0.4404
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,ATP2B4,PMCA4,Ca handling,3.1991,0.7108
